2020-07-12 14:13:17,461 DEBUG    [client] function "check_settings" called from "<module>", params = (['localhost', '7777'],), {}
2020-07-12 14:13:17,462 DEBUG    [client] function "parse_cli_flags" called from "check_settings", params = (['localhost', '7777'],), {}
2020-07-12 14:13:17,464 INFO     [client] CONNECTING to server: localhost:7777
2020-07-12 14:13:17,471 DEBUG    [client] function "form_presence_message" called from "<module>", params = ('test', 'online'), {}
2020-07-12 14:13:17,472 DEBUG    [client] Formed PRESENCE for user "test": "online"
2020-07-12 14:13:17,472 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'presence', 'time': 1594552397, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}, <socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10581), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:13:17,473 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'presence', 'time': 1594552397, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}
2020-07-12 14:13:17,473 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:13:17,473 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:13:17,474 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552397, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10581), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:13:17,474 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552397, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:13:18,475 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10581), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:13:18,475 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'response': 200, 'time': 1594552397, 'alert': 'OK'}
2020-07-12 14:13:18,477 DEBUG    [client] function "parse_message" called from "<module>", params = ({'response': 200, 'time': 1594552397, 'alert': 'OK'},), {}
2020-07-12 14:13:18,477 INFO     [client] Got ALERT from server: "OK"
2020-07-12 14:13:18,478 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:13:18,478 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:13:18,480 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552398, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10581), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:13:18,480 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552398, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:13:19,481 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=712, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10581), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:13:19,481 ERROR    [client] Could not decode message: "{"action": "msg", "time": 1594552397, "to": "#test", "from": "test", "message": "test"}{"action": "msg", "time": 1594552398, "to": "#test", "from": "test", "message": "test"}{"action": "msg", "time": 1594552397, "to": "#test", "from": "test", "message": "test"}{"action": "msg", "time": 1594552398, "to": "#test", "from": "test", "message": "test"}"
2020-07-12 14:13:19,482 ERROR    [client] function "receive_message" raised an exception "JSONDecodeError" ('Extra data: line 1 column 88 (char 87)',)
2020-07-12 14:13:19,482 DEBUG    [client] function "parse_message" called from "<module>", params = (None,), {}
2020-07-12 14:14:52,719 DEBUG    [client] function "check_settings" called from "<module>", params = (['localhost', '7777'],), {}
2020-07-12 14:14:52,720 DEBUG    [client] function "parse_cli_flags" called from "check_settings", params = (['localhost', '7777'],), {}
2020-07-12 14:14:52,723 INFO     [client] CONNECTING to server: localhost:7777
2020-07-12 14:14:52,728 DEBUG    [client] function "form_presence_message" called from "<module>", params = ('test', 'online'), {}
2020-07-12 14:14:52,728 DEBUG    [client] Formed PRESENCE for user "test": "online"
2020-07-12 14:14:52,729 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'presence', 'time': 1594552492, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}, <socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10704), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:14:52,729 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'presence', 'time': 1594552492, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}
2020-07-12 14:14:52,729 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:14:52,729 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:14:52,730 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552492, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10704), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:14:52,730 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552492, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:14:53,730 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=600, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10704), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:14:53,731 ERROR    [client] Could not decode message: "{"response": 200, "time": 1594552492, "alert": "OK"}{"action": "msg", "time": 1594552492, "to": "#test", "from": "test", "message": "test"}"
2020-07-12 14:14:53,731 ERROR    [client] function "receive_message" raised an exception "JSONDecodeError" ('Extra data: line 1 column 53 (char 52)',)
2020-07-12 14:14:53,732 DEBUG    [client] function "parse_message" called from "<module>", params = (None,), {}
2020-07-12 14:16:23,444 DEBUG    [client] function "check_settings" called from "<module>", params = (['localhost', '7777'],), {}
2020-07-12 14:16:23,445 DEBUG    [client] function "parse_cli_flags" called from "check_settings", params = (['localhost', '7777'],), {}
2020-07-12 14:16:23,447 INFO     [client] CONNECTING to server: localhost:7777
2020-07-12 14:16:23,453 DEBUG    [client] function "form_presence_message" called from "<module>", params = ('test', 'online'), {}
2020-07-12 14:16:23,453 DEBUG    [client] Formed PRESENCE for user "test": "online"
2020-07-12 14:16:23,453 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'presence', 'time': 1594552583, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:23,453 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'presence', 'time': 1594552583, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}
2020-07-12 14:16:23,454 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:23,456 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'response': 200, 'time': 1594552583, 'alert': 'OK'}
2020-07-12 14:16:23,457 DEBUG    [client] function "parse_message" called from "<module>", params = ({'response': 200, 'time': 1594552583, 'alert': 'OK'},), {}
2020-07-12 14:16:23,457 INFO     [client] Got ALERT from server: "OK"
2020-07-12 14:16:23,457 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:23,458 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:23,458 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552583, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:23,458 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552583, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:24,459 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:24,460 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552583, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:24,460 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552583, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:24,460 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:24,461 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:24,461 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:24,462 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552584, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:24,462 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552584, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:25,464 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:25,464 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552584, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:25,465 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552584, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:25,466 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:25,467 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:25,467 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:25,470 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552585, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:25,470 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552585, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:26,473 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:26,473 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552585, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:26,475 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552585, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:26,475 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:26,476 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:26,476 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:26,477 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552586, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:26,477 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552586, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:27,478 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:27,478 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552586, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:27,480 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552586, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:27,480 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:27,481 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:27,481 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
2020-07-12 14:16:27,483 DEBUG    [client] function "send_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552587, 'to': '#test', 'from': 'test', 'message': 'test'}, <socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:27,483 INFO     [client] -> Sent message to ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552587, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:28,484 DEBUG    [client] function "receive_message" called from "<module>", params = (<socket.socket fd=616, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 10827), raddr=('127.0.0.1', 7777)>, <Logger client (DEBUG)>), {}
2020-07-12 14:16:28,484 INFO     [client] <- Received message from ('127.0.0.1', 7777): {'action': 'msg', 'time': 1594552587, 'to': '#test', 'from': 'test', 'message': 'test'}
2020-07-12 14:16:28,485 DEBUG    [client] function "parse_message" called from "<module>", params = ({'action': 'msg', 'time': 1594552587, 'to': '#test', 'from': 'test', 'message': 'test'},), {}
2020-07-12 14:16:28,485 INFO     [client] Got MESSAGE from server: "test"
2020-07-12 14:16:28,485 DEBUG    [client] function "form_text_message" called from "<module>", params = ('test', '#test', 'test'), {}
2020-07-12 14:16:28,486 DEBUG    [client] Formed MESSAGE from user "test" to "#test": "test"
