2020-07-08 21:38:02,189 DEBUG    [server] function "check_settings" called from "<module>", params = ([],), {}
2020-07-08 21:38:02,190 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = ([],), {}
2020-07-08 21:38:02,192 INFO     [server] Listening on "":7777
2020-07-08 21:38:03,712 DEBUG    [server] function "receive_message" called from "<module>", params = (<socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,713 INFO     [server] <- Received message from ('127.0.0.1', 4323): {'action': 'presence', 'time': 1594233483, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}
2020-07-08 21:38:03,714 DEBUG    [server] function "check_presence" called from "<module>", params = ({'action': 'presence', 'time': 1594233483, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}},), {}
2020-07-08 21:38:03,714 DEBUG    [server] function "send_response" called from "<module>", params = ({'action': 'presence', 'time': 1594233483, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>), {}
2020-07-08 21:38:03,715 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1594233483, 'type': 'status', 'user': {'account_name': 'test', 'status': 'online'}},), {}
2020-07-08 21:38:03,715 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-07-08 21:38:03,715 DEBUG    [server] Formed response: {'response': 200, 'time': 1594233483, 'alert': 'OK'}
2020-07-08 21:38:03,716 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 200, 'time': 1594233483, 'alert': 'OK'}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,716 INFO     [server] -> Sent message to ('127.0.0.1', 4323): {'response': 200, 'time': 1594233483, 'alert': 'OK'}
2020-07-08 21:38:03,716 INFO     [server] New CLIENT: "test" from ('127.0.0.1', 4323)
2020-07-08 21:38:03,717 DEBUG    [server] function "receive_message" called from "<module>", params = (<socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,718 INFO     [server] <- Received message from ('127.0.0.1', 4323): {'action': 'authenticate', 'time': 1594233483, 'user': {'account_name': 'test', 'password': '12345678'}}
2020-07-08 21:38:03,719 DEBUG    [server] function "send_response" called from "<module>", params = ({'action': 'authenticate', 'time': 1594233483, 'user': {'account_name': 'test', 'password': '12345678'}}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>), {}
2020-07-08 21:38:03,719 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'authenticate', 'time': 1594233483, 'user': {'account_name': 'test', 'password': '12345678'}},), {}
2020-07-08 21:38:03,720 DEBUG    [server] function "form_response" called from "send_response", params = (402,), {}
2020-07-08 21:38:03,720 DEBUG    [server] Formed response: {'response': 402, 'time': 1594233483, 'error': 'Wrong password'}
2020-07-08 21:38:03,720 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 402, 'time': 1594233483, 'error': 'Wrong password'}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,720 INFO     [server] -> Sent message to ('127.0.0.1', 4323): {'response': 402, 'time': 1594233483, 'error': 'Wrong password'}
2020-07-08 21:38:03,721 DEBUG    [server] function "receive_message" called from "<module>", params = (<socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,722 INFO     [server] <- Received message from ('127.0.0.1', 4323): {'action': 'join', 'time': 1594233483, 'room': '#test'}
2020-07-08 21:38:03,723 DEBUG    [server] function "send_response" called from "<module>", params = ({'action': 'join', 'time': 1594233483, 'room': '#test'}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>), {}
2020-07-08 21:38:03,723 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'join', 'time': 1594233483, 'room': '#test'},), {}
2020-07-08 21:38:03,724 DEBUG    [server] function "form_response" called from "send_response", params = (404,), {}
2020-07-08 21:38:03,724 DEBUG    [server] Formed response: {'response': 404, 'time': 1594233483, 'error': 'User or chat doesn`t exist'}
2020-07-08 21:38:03,724 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 404, 'time': 1594233483, 'error': 'User or chat doesn`t exist'}, <socket.socket fd=792, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 4323)>, <Logger server (DEBUG)>), {}
2020-07-08 21:38:03,724 INFO     [server] -> Sent message to ('127.0.0.1', 4323): {'response': 404, 'time': 1594233483, 'error': 'User or chat doesn`t exist'}
